id,name,range,rating
7L5IwfKB6W0tadcSh9wlyH,Ouverture,short_term,5.393939393939394
0tAZi3X7dUdd7m8OXB8pMA,Shadow,short_term,5.2727272727272725
1XMDIKQbV30WJPKLMN6MKv,INSTRUCTION,short_term,4.96969696969697
1XZdwzd8DTDvkjVc0eJ9BI,Wildlife Analysis,short_term,4.909090909090909
1f4cKwcKfNiLbQr8x2tZ3C,Melt!,short_term,4.848484848484849
2278Bt6LM1PRIrHdJAwRII,Bird,short_term,4.7272727272727275
3KPBhpMXdynTzcSev5Q5Wd,Pêcheuse de Lune,short_term,4.484848484848484
5qVMK9Kolb5pmTsQ3Vd6nF,IDGAF,short_term,4.242424242424242
5wmBPrUdXE8GygO3qyGUbE,Spring Ritournelle - Catch Yourself Falling Demo,short_term,4.181818181818182
03nI9nWuShqmWPhXRngQsy,Teach Them How To Bleed,short_term,4.121212121212121
05xCJ6BYn3V55oX5xji5kz,Cold Front,short_term,4.0606060606060606
1uX5AUX69UtVhxbFI6H1Ql,Cheap And Cheerful - Sebastian remix,short_term,3.9393939393939394
2tosp3JAI9RxoiJmk6lDQB,Agoraphobia,short_term,3.878787878787879
2uP6FN38qFGP5TrjEEyVbW,Function Music,short_term,3.8181818181818183
2yPPWQwZOtmgW716VrtFwN,21st Century Schizoid Man,short_term,3.7575757575757573
3hJ6I6Xr9cWiw5I2MPMDr6,Catch Yourself Falling (feat. Alexis Taylor),short_term,3.696969696969697
42inyu6e9EOPzc5taK3H2G,Bena bena,short_term,3.6363636363636362
4cDJQmGTwOvujaQ4VwxMnp,The Border,short_term,3.515151515151515
5ypdfroOYzJ8OCFTdAxmE4,Back to Your Heart (feat. Kate NV),short_term,3.393939393939394
61ETUvhjw9Ama7Q9F4FFPe,The Madness and the Damage Done,short_term,3.333333333333333
6GnwaKutVHDoDwJCJf0h4m,Concrete and Glass,short_term,3.212121212121212
7i7fHvZz7dx1JIuYiQFn1L,Dancing By Night,short_term,3.1515151515151514
5xJDI5YYHk6dFexvSVonw2,Unfold,short_term,2.909090909090909
02ppMPbg1OtEdHgoPqoqju,Reckoner,short_term,2.8484848484848486
03XCbuNqYCaPhoQQxTTZoz,Movement 5,short_term,2.727272727272727
0YJ9FWWHn9EfnN0lHwbzvV,Jigsaw Falling Into Place,short_term,2.6666666666666665
0rkUalLPi1bcCId3UWuure,Time On My Hands (feat. Kirin J Callinan),short_term,2.606060606060606
0sgzC3F93Dh76Yfj5gNUkT,The Color Of The Fire,short_term,2.5454545454545454
1Xijd6plP4qvI8XtJwBLIP,"Turn Right, Turn Left",short_term,2.484848484848485
1ZyfAtLlLn1ydIB8REV2OY,What Makes Me Think About You,short_term,2.4242424242424243
3FJ4suZo6FuW0xmARmE0R4,Kaini Industries,short_term,2.1818181818181817
3JhOqm1Qc6HntAZP8Mz1uo,From Pink They Fell Into Blue,short_term,2.121212121212121
3Nyhz7qoHbzNhfvbicO02D,Girl Like Sally (feat. Kirin J Callinan),short_term,2.0606060606060606
3xWSvA1I12TzogevV5HE4M,Pieces of Sound,short_term,1.9393939393939394
42yyhfzkfJIjNHSy1deT0A,Love Theme (feat. Kadhja Bonet),short_term,1.878787878787879
48X4D1FYOShPz2VF3YdfCF,House Of Cards,short_term,1.8181818181818183
4i2F35b5tamKhvMsf0wuuL,Live to Win,short_term,1.6969696969696972
4pWIwnnqx8k01fuF95UMIg,Bodysnatchers,short_term,1.6363636363636367
4sTXJ6PF8UCycBMlDtB6n6,Ocean Road,short_term,1.5757575757575752
4wajJ1o7jWIg62YqpkHC7S,Weird Fishes/ Arpeggi,short_term,1.5151515151515147
50fkJxrv0ZLTt9EHZGBOP7,Canon x Love S.O.S. (WWW),short_term,1.4545454545454541
5fdJ9yD4BMXogf3183BXd3,Papillons,short_term,1.3939393939393936
6DwgovwzeHZa2Ka0xuoDlT,Cité radieuse,short_term,1.2727272727272725
6t5LvKZevNXyHXhROrMR9t,Fat Old Sun,short_term,1.1515151515151514
7AfbtT8GN1iv3Crb11NaVI,Telephasic Workshop,short_term,1.0909090909090908
7keJ7uDxNNp2RFx91ZgWpc,Bocuma,short_term,1.0303030303030303
7sAzXuEwz0sOhnB57xoccs,An Eagle In Your Mind,short_term,0.9696969696969697
0ansk2O9qsXta073JyOKKD,Kounkoun,short_term,0.7878787878787881
0uEBBlkHjdxSUty2ANx8SZ,Norfolk Hotel,short_term,0.7272727272727275
15irEKZ9D6FQqLoZ1qJ1Cx,Faust Arp,short_term,0.6666666666666661
1GXHYRKZnCxmuJQ4eesNI6,The Cure,short_term,0.6060606060606055
1xkYnVp4lmP9r1W1DVd6Pd,Infinite End,short_term,0.4848484848484844
1zPRp8SGQu5nATv2Telw2D,Sex Music,short_term,0.42424242424242387
2A6YNzhnvSgaqkJzDjtVyf,Sixtyten,short_term,0.3636363636363633
2CcYI8KxDgOiOaM7axIP3h,Fadjamou,short_term,0.30303030303030276
2TdpGmTV28dk9XPJhHq1h1,Yere faga,short_term,0.1212121212121211
2egYFLjRGuzt8lYM1Yznz2,"Schwanengesang, D. 957: IV. Ständchen",short_term,0.06060606060606055
35YyxFpE0ZTOoqFx5bADW8,Nude,short_term,0.0
1wQL1hqKJNlOZr5vVgIytr,Bennington (2007),medium_term,7.636363636363637
4L9UGREMQBfYLmGwlACgTV,Moskau,medium_term,7.575757575757576
6q0vpZDGYCpYd3DDTfjSFX,Now Summer Is Gone,medium_term,7.515151515151516
